#format table ## [Custom WaveView] saved 16:21:43 Mon Jan 15 2024
TIME ,x_ssad.v(b5) ,x_ssad.v(b4) ,x_ssad.v(b3) ,x_ssad.v(b2) ,x_ssad.v(b1) ,x_ssad.v(b0) 
 5.580E-03 , 1.826E+00 , 1.826E+00 , 1.826E+00 , 1.826E+00 , 1.826E+00 , 1.893E+00 
 5.630E-03 , 3.527E-02 , 3.527E-02 , 3.527E-02 , 3.527E-02 , 3.527E-02 , 1.831E+00 
 5.680E-03 , 1.801E+00 , 1.801E+00 , 1.801E+00 , 1.801E+00 , 1.879E+00 , 6.951E-05 
 5.730E-03 , 3.527E-02 , 3.527E-02 , 3.527E-02 , 3.527E-02 , 3.527E-02 , 1.831E+00 
 5.780E-03 , 1.826E+00 , 1.826E+00 , 1.826E+00 , 1.826E+00 , 1.826E+00 , 1.893E+00 
 5.830E-03 , 3.528E-02 , 3.528E-02 , 3.528E-02 , 3.528E-02 , 3.528E-02 , 1.831E+00 
 5.880E-03 , 1.801E+00 , 1.801E+00 , 1.801E+00 , 1.801E+00 , 1.879E+00 , 6.962E-05 
 5.930E-03 , 3.529E-02 , 3.529E-02 , 3.529E-02 , 3.529E-02 , 3.529E-02 , 1.831E+00 
 5.980E-03 , 1.826E+00 , 1.826E+00 , 1.826E+00 , 1.826E+00 , 1.826E+00 , 1.893E+00 
 6.030E-03 , 3.529E-02 , 3.529E-02 , 3.529E-02 , 3.529E-02 , 3.529E-02 , 1.831E+00 
 6.080E-03 , 1.826E+00 , 1.826E+00 , 1.826E+00 , 1.826E+00 , 1.826E+00 , 1.893E+00 
 6.130E-03 , 3.530E-02 , 3.530E-02 , 3.530E-02 , 3.530E-02 , 3.530E-02 , 1.831E+00 
 6.180E-03 , 1.801E+00 , 1.801E+00 , 1.801E+00 , 1.801E+00 , 1.879E+00 , 6.979E-05 
 6.230E-03 , 3.531E-02 , 3.531E-02 , 3.531E-02 , 3.531E-02 , 3.531E-02 , 1.831E+00 
 6.280E-03 , 1.826E+00 , 1.826E+00 , 1.826E+00 , 1.826E+00 , 1.826E+00 , 1.893E+00 
 6.330E-03 , 3.531E-02 , 3.531E-02 , 3.531E-02 , 3.531E-02 , 3.531E-02 , 1.831E+00 
 6.380E-03 , 1.801E+00 , 1.801E+00 , 1.801E+00 , 1.801E+00 , 1.879E+00 , 6.986E-05 
 6.430E-03 , 3.532E-02 , 3.532E-02 , 3.532E-02 , 3.532E-02 , 1.831E+00 , 3.532E-02 
 6.480E-03 , 1.826E+00 , 1.826E+00 , 1.826E+00 , 1.826E+00 , 1.826E+00 , 1.893E+00 
 6.530E-03 , 3.532E-02 , 3.532E-02 , 3.532E-02 , 3.532E-02 , 3.532E-02 , 1.831E+00 
 6.580E-03 , 1.826E+00 , 1.826E+00 , 1.826E+00 , 1.826E+00 , 1.826E+00 , 1.893E+00 
 6.630E-03 , 3.533E-02 , 3.533E-02 , 3.533E-02 , 3.533E-02 , 1.831E+00 , 3.533E-02 
 6.680E-03 , 1.801E+00 , 1.801E+00 , 1.801E+00 , 1.801E+00 , 1.879E+00 , 7.000E-05 
 6.730E-03 , 3.533E-02 , 3.533E-02 , 3.533E-02 , 3.533E-02 , 3.533E-02 , 1.831E+00 
 6.780E-03 , 1.826E+00 , 1.826E+00 , 1.826E+00 , 1.826E+00 , 1.826E+00 , 1.893E+00 
 6.830E-03 , 3.534E-02 , 3.534E-02 , 3.534E-02 , 3.534E-02 , 3.534E-02 , 1.831E+00 
 6.880E-03 , 1.801E+00 , 1.801E+00 , 1.801E+00 , 1.801E+00 , 1.879E+00 , 7.007E-05 
 6.930E-03 , 3.534E-02 , 3.534E-02 , 3.534E-02 , 3.534E-02 , 1.831E+00 , 3.534E-02 
 6.980E-03 , 1.801E+00 , 1.801E+00 , 1.801E+00 , 1.801E+00 , 1.879E+00 , 7.016E-05 
 7.030E-03 , 3.535E-02 , 3.535E-02 , 3.535E-02 , 3.535E-02 , 3.535E-02 , 1.831E+00 
 7.080E-03 , 1.826E+00 , 1.826E+00 , 1.826E+00 , 1.826E+00 , 1.826E+00 , 1.893E+00 
 7.130E-03 , 3.535E-02 , 3.535E-02 , 3.535E-02 , 3.535E-02 , 1.831E+00 , 3.535E-02 
 7.180E-03 , 1.801E+00 , 1.801E+00 , 1.801E+00 , 1.801E+00 , 1.879E+00 , 7.022E-05 
 7.230E-03 , 3.536E-02 , 3.536E-02 , 3.536E-02 , 3.536E-02 , 3.536E-02 , 1.831E+00 
 7.280E-03 , 1.801E+00 , 1.801E+00 , 1.801E+00 , 1.801E+00 , 1.879E+00 , 7.022E-05 
 7.330E-03 , 3.536E-02 , 3.536E-02 , 3.536E-02 , 3.536E-02 , 1.831E+00 , 3.536E-02 
 7.380E-03 , 1.801E+00 , 1.801E+00 , 1.801E+00 , 1.801E+00 , 1.879E+00 , 7.030E-05 
 7.430E-03 , 3.537E-02 , 3.537E-02 , 3.537E-02 , 3.537E-02 , 1.831E+00 , 3.537E-02 
 7.480E-03 , 1.801E+00 , 1.801E+00 , 1.801E+00 , 1.801E+00 , 1.879E+00 , 7.039E-05 
 7.530E-03 , 3.537E-02 , 3.537E-02 , 3.537E-02 , 3.537E-02 , 1.831E+00 , 3.537E-02 
 7.580E-03 , 1.801E+00 , 1.801E+00 , 1.801E+00 , 1.801E+00 , 1.879E+00 , 7.041E-05 
 7.630E-03 , 3.538E-02 , 3.538E-02 , 3.538E-02 , 3.538E-02 , 1.831E+00 , 3.538E-02 
 7.680E-03 , 1.803E+00 , 1.803E+00 , 1.803E+00 , 1.880E+00 , 5.839E-05 , 1.880E+00 
 7.730E-03 , 3.539E-02 , 3.539E-02 , 3.539E-02 , 3.539E-02 , 1.831E+00 , 3.539E-02 
 7.780E-03 , 1.801E+00 , 1.801E+00 , 1.801E+00 , 1.801E+00 , 1.879E+00 , 7.053E-05 
 7.830E-03 , 3.540E-02 , 3.540E-02 , 3.540E-02 , 3.540E-02 , 1.831E+00 , 3.540E-02 
 7.880E-03 , 1.803E+00 , 1.803E+00 , 1.803E+00 , 1.880E+00 , 5.849E-05 , 1.880E+00 
 7.930E-03 , 1.767E-02 , 1.767E-02 , 1.767E-02 , 1.767E-02 , 1.735E+00 , 1.841E+00 
 7.980E-03 , 1.803E+00 , 1.803E+00 , 1.803E+00 , 1.880E+00 , 5.853E-05 , 1.880E+00 
 8.030E-03 , 3.541E-02 , 3.541E-02 , 3.541E-02 , 3.541E-02 , 1.831E+00 , 3.541E-02 
 8.080E-03 , 1.801E+00 , 1.801E+00 , 1.801E+00 , 1.801E+00 , 1.879E+00 , 7.072E-05 
 8.130E-03 , 1.768E-02 , 1.768E-02 , 1.768E-02 , 1.768E-02 , 1.735E+00 , 1.841E+00 
 8.180E-03 , 1.803E+00 , 1.803E+00 , 1.803E+00 , 1.880E+00 , 5.859E-05 , 1.880E+00 
 8.230E-03 , 3.542E-02 , 3.542E-02 , 3.542E-02 , 3.542E-02 , 1.831E+00 , 3.542E-02 
 8.280E-03 , 1.803E+00 , 1.803E+00 , 1.803E+00 , 1.880E+00 , 5.864E-05 , 1.880E+00 
 8.330E-03 , 1.769E-02 , 1.769E-02 , 1.769E-02 , 1.769E-02 , 1.735E+00 , 1.841E+00 
 8.380E-03 , 1.777E+00 , 1.777E+00 , 1.777E+00 , 1.865E+00 , 1.053E-03 , 1.053E-03 
 8.430E-03 , 1.770E-02 , 1.770E-02 , 1.770E-02 , 1.770E-02 , 1.735E+00 , 1.841E+00 
 8.480E-03 , 1.803E+00 , 1.803E+00 , 1.803E+00 , 1.880E+00 , 5.873E-05 , 1.880E+00 
 8.530E-03 , 1.770E-02 , 1.770E-02 , 1.770E-02 , 1.770E-02 , 1.735E+00 , 1.841E+00 
 8.580E-03 , 1.803E+00 , 1.803E+00 , 1.803E+00 , 1.880E+00 , 5.877E-05 , 1.880E+00 
 8.630E-03 , 3.545E-02 , 3.545E-02 , 3.545E-02 , 1.831E+00 , 3.545E-02 , 3.545E-02 
 8.680E-03 , 1.777E+00 , 1.777E+00 , 1.777E+00 , 1.865E+00 , 1.055E-03 , 1.055E-03 
 8.730E-03 , 1.771E-02 , 1.771E-02 , 1.771E-02 , 1.771E-02 , 1.735E+00 , 1.841E+00 
 8.780E-03 , 1.777E+00 , 1.777E+00 , 1.777E+00 , 1.865E+00 , 1.056E-03 , 1.056E-03 
 8.830E-03 , 3.546E-02 , 3.546E-02 , 3.546E-02 , 1.831E+00 , 3.546E-02 , 3.546E-02 
 8.880E-03 , 1.777E+00 , 1.777E+00 , 1.777E+00 , 1.865E+00 , 1.056E-03 , 1.056E-03 
 8.930E-03 , 3.546E-02 , 3.546E-02 , 3.546E-02 , 1.831E+00 , 3.546E-02 , 3.546E-02 
 8.980E-03 , 1.777E+00 , 1.777E+00 , 1.777E+00 , 1.865E+00 , 1.057E-03 , 1.057E-03 
 9.030E-03 , 3.547E-02 , 3.547E-02 , 3.547E-02 , 1.831E+00 , 3.547E-02 , 3.547E-02 
 9.080E-03 , 1.777E+00 , 1.777E+00 , 1.777E+00 , 1.865E+00 , 1.058E-03 , 1.058E-03 
 9.130E-03 , 3.547E-02 , 3.547E-02 , 3.547E-02 , 1.831E+00 , 3.547E-02 , 3.547E-02 
 9.180E-03 , 1.803E+00 , 1.803E+00 , 1.880E+00 , 5.899E-05 , 1.803E+00 , 1.880E+00 
 9.230E-03 , 3.548E-02 , 3.548E-02 , 3.548E-02 , 1.831E+00 , 3.548E-02 , 3.548E-02 
 9.280E-03 , 1.803E+00 , 1.803E+00 , 1.880E+00 , 5.903E-05 , 1.803E+00 , 1.880E+00 
 9.330E-03 , 1.635E-02 , 1.635E-02 , 1.635E-02 , 1.842E+00 , 1.635E-02 , 1.842E+00 
 9.380E-03 , 1.803E+00 , 1.803E+00 , 1.880E+00 , 5.907E-05 , 1.803E+00 , 1.880E+00 
 9.430E-03 , 1.635E-02 , 1.635E-02 , 1.635E-02 , 1.842E+00 , 1.635E-02 , 1.842E+00 
 9.480E-03 , 1.803E+00 , 1.803E+00 , 1.880E+00 , 5.913E-05 , 1.803E+00 , 1.880E+00 
 9.530E-03 , 1.636E-02 , 1.636E-02 , 1.636E-02 , 1.842E+00 , 1.636E-02 , 1.842E+00 
 9.580E-03 , 1.803E+00 , 1.803E+00 , 1.880E+00 , 5.918E-05 , 1.803E+00 , 1.880E+00 
 9.630E-03 , 1.636E-02 , 1.636E-02 , 1.636E-02 , 1.842E+00 , 1.636E-02 , 1.842E+00 
 9.680E-03 , 1.779E+00 , 1.779E+00 , 1.866E+00 , 8.755E-04 , 1.866E+00 , 8.755E-04 
 9.730E-03 , 1.637E-02 , 1.637E-02 , 1.637E-02 , 1.842E+00 , 1.637E-02 , 1.842E+00 
 9.780E-03 , 1.779E+00 , 1.779E+00 , 1.866E+00 , 8.762E-04 , 1.866E+00 , 8.761E-04 
 9.830E-03 , 1.637E-02 , 1.637E-02 , 1.637E-02 , 1.842E+00 , 1.637E-02 , 1.842E+00 
 9.880E-03 , 1.779E+00 , 1.779E+00 , 1.866E+00 , 8.768E-04 , 1.866E+00 , 8.768E-04 
 9.930E-03 , 1.776E-02 , 1.776E-02 , 1.776E-02 , 1.735E+00 , 1.841E+00 , 1.776E-02 
 9.980E-03 , 1.779E+00 , 1.779E+00 , 1.866E+00 , 8.775E-04 , 1.866E+00 , 8.775E-04 
 1.003E-02 , 1.777E-02 , 1.777E-02 , 1.777E-02 , 1.735E+00 , 1.841E+00 , 1.777E-02 
 1.008E-02 , 1.779E+00 , 1.779E+00 , 1.866E+00 , 8.780E-04 , 1.866E+00 , 8.780E-04 
 1.013E-02 , 1.777E-02 , 1.777E-02 , 1.777E-02 , 1.735E+00 , 1.841E+00 , 1.777E-02 
 1.018E-02 , 1.779E+00 , 1.779E+00 , 1.866E+00 , 8.784E-04 , 8.784E-04 , 1.866E+00 
 1.023E-02 , 1.778E-02 , 1.778E-02 , 1.778E-02 , 1.735E+00 , 1.841E+00 , 1.778E-02 
 1.028E-02 , 1.779E+00 , 1.779E+00 , 1.866E+00 , 8.789E-04 , 8.789E-04 , 1.866E+00 
 1.033E-02 , 6.222E-03 , 6.222E-03 , 6.222E-03 , 1.755E+00 , 1.755E+00 , 1.853E+00 
 1.038E-02 , 1.779E+00 , 1.779E+00 , 1.866E+00 , 8.795E-04 , 8.795E-04 , 1.866E+00 
 1.043E-02 , 6.225E-03 , 6.225E-03 , 6.225E-03 , 1.755E+00 , 1.755E+00 , 1.853E+00 
 1.048E-02 , 1.779E+00 , 1.779E+00 , 1.866E+00 , 8.800E-04 , 8.800E-04 , 1.866E+00 
 1.053E-02 , 6.227E-03 , 6.227E-03 , 6.227E-03 , 1.755E+00 , 1.755E+00 , 1.853E+00 
